,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,18784.00000,20511.00000,-1727.00000,-167.00000,801.00000,-2528.00000,-283.00000,-2811.00000,-584.00000,-2227.00000,-2227.00000,,-2227.00000,-2602.00000,-2528.00000,171.03500,172.70000,-13.02000,-13.10000
2021-12-31,19230.00000,17235.00000,1995.00000,-87.00000,87.00000,1908.00000,-270.00000,1638.00000,233.00000,1405.00000,1405.00000,,1405.00000,1862.00000,1908.00000,187.36000,189.09900,7.50000,7.43000
2020-12-31,17439.00000,16664.00000,775.00000,-68.00000,68.00000,707.00000,-284.00000,423.00000,-76.00000,499.00000,499.00000,,499.00000,666.00000,707.00000,193.61000,194.46500,2.58000,2.56000
2019-12-31,17258.00000,15947.00000,1311.00000,-66.00000,66.00000,1245.00000,-326.00000,919.00000,33.00000,886.00000,886.00000,,886.00000,1214.00000,1245.00000,200.60900,202.10500,4.41000,4.38000
2018-12-31,16424.00000,14166.00000,2258.00000,-76.00000,76.00000,2182.00000,-297.00000,1885.00000,244.00000,1641.00000,1641.00000,,1641.00000,2173.00000,2182.00000,215.93600,219.55200,7.60000,7.40000
2017-12-31,14257.00000,11926.00000,2331.00000,-43.00000,948.00000,1383.00000,-253.00000,1130.00000,-949.00000,2079.00000,2079.00000,,2079.00000,1360.00000,1383.00000,222.12900,226.22000,9.36000,9.22000
2016-12-31,13330.00000,11533.00000,1797.00000,-8.00000,8.00000,1789.00000,-331.00000,1458.00000,266.00000,1192.00000,1192.00000,,1192.00000,1716.00000,1789.00000,234.18200,236.83000,5.09000,5.03000
2015-12-31,13572.00000,11870.00000,1702.00000,,0.00000,1702.00000,-272.00000,1430.00000,276.00000,1154.00000,1154.00000,,1154.00000,1628.00000,1702.00000,250.62900,254.93800,4.60000,4.51000
2014-12-31,13554.00000,11290.00000,2264.00000,,0.00000,2264.00000,-267.00000,1997.00000,483.00000,1514.00000,1514.00000,1.00000,1515.00000,2190.00000,2264.00000,260.87800,267.96400,5.81000,5.67000
2013-12-31,11969.00000,10073.00000,1896.00000,,0.00000,1896.00000,-265.00000,1631.00000,387.00000,1244.00000,1244.00000,0.00000,1244.00000,1822.00000,1896.00000,265.63100,275.14900,4.68000,4.52000
2012-12-31,11535.00000,9694.00000,1841.00000,,0.00000,1841.00000,-273.00000,1568.00000,282.00000,1286.00000,1286.00000,27.00000,1313.00000,1767.00000,1841.00000,280.64800,287.59100,4.68000,4.56000
2011-12-31,10641.00000,9097.00000,1544.00000,,747.00000,797.00000,-294.00000,503.00000,274.00000,229.00000,229.00000,-8.00000,221.00000,722.00000,797.00000,307.21600,314.95000,0.72000,0.69000
2010-12-31,10415.00000,8989.00000,1426.00000,,0.00000,1426.00000,-291.00000,1135.00000,262.00000,873.00000,873.00000,29.00000,735.00000,1351.00000,1426.00000,310.00500,319.21400,2.37000,2.30000
2009-12-31,8499.00000,8093.00000,406.00000,,730.00000,-324.00000,-197.00000,-521.00000,-106.00000,-415.00000,-415.00000,-70.00000,-520.00000,-400.00000,-324.00000,280.03100,285.63600,-1.85000,-1.85000
