,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-09-30,2695.84500,539.62700,2156.21800,543.36800,1201.14900,,1752.42600,403.79200,-18.39900,385.39300,63.23300,322.16000,322.16000,322.16000,519.40100,403.79200,60.27400,61.09700,5.34000,5.27000
2021-09-30,2603.41600,493.14600,2110.27000,512.62700,1203.61800,,1716.24500,394.02510,-7.08800,386.93700,55.69600,331.24100,331.24100,331.24100,509.44920,394.02510,60.70700,62.05700,5.46000,5.34000
2020-09-30,2350.82200,407.88700,1942.93500,441.32400,1101.54400,,1550.66800,392.26710,4.13000,396.39700,88.95600,307.44100,307.44100,307.44100,488.12410,392.26710,60.91100,61.37800,5.05000,5.01000
2019-09-30,2242.44700,356.57700,1885.87000,408.05800,959.34900,,1367.40700,518.46300,22.64800,541.11100,113.37700,427.73400,427.73400,427.73400,586.97000,518.46300,60.04400,60.45600,7.12000,7.08000
2018-09-30,2161.40700,361.48100,1799.92600,366.08400,824.51700,,1209.02700,590.89890,12.86100,603.76000,150.07100,453.68900,453.68900,453.68900,650.39000,590.89890,61.26200,62.01300,7.41000,7.32000
2017-09-30,2090.04100,353.48500,1736.55600,350.36500,809.12600,-0.39100,1172.60000,563.95590,11.56100,575.51700,154.75600,420.76100,420.76100,420.76100,625.10390,563.95590,64.17300,64.77500,6.56000,6.50000
2016-09-30,1995.03400,337.20500,1657.82900,334.22700,767.17400,-9.05100,1110.45200,547.37710,2.51400,549.89100,184.03600,365.85500,365.85500,365.85500,604.15310,547.37710,67.43300,67.98400,5.43000,5.38000
2015-09-30,1919.82300,332.26100,1587.56200,296.58300,738.08000,,1034.66300,552.89900,8.44500,561.34400,196.33000,365.01400,365.01400,365.01400,605.48210,552.89900,71.94400,72.54700,5.07000,5.03000
2014-09-30,1732.04600,309.95900,1422.08700,263.79200,664.73800,,928.53000,493.55700,3.78500,497.34200,186.15900,311.18300,311.18300,311.18300,539.67800,493.55700,75.39500,76.09200,4.13000,4.09000
2013-09-30,1481.31400,253.04700,1228.26700,209.61400,585.44200,-2.39300,797.44900,430.81800,7.27400,438.09200,160.77800,277.31400,277.31400,277.31400,470.82300,430.81800,78.56500,79.13600,3.53000,3.50000
2012-09-30,1377.24700,236.16800,1141.07900,177.40600,537.37000,,714.77600,426.30300,5.91100,432.21400,157.02800,275.18600,275.18600,275.18600,461.44200,426.30300,79.13500,79.78000,3.48000,3.45000
2011-09-30,1151.83400,208.00400,943.83000,138.91000,454.25800,,593.16800,350.66200,10.08900,360.75100,119.35400,241.39700,241.39700,241.39700,371.54900,350.66200,80.65800,81.48200,2.99000,2.96000
2010-09-30,881.97200,171.95200,710.02000,118.31400,361.70400,,480.01800,230.00200,7.62500,237.62700,86.47400,151.15300,151.15300,151.15300,253.83500,230.00200,79.60900,81.04900,1.90000,1.86000
2009-09-30,653.07900,142.72600,510.35300,103.66400,280.43600,,388.42900,121.92400,9.72400,131.64800,40.11300,91.53500,91.53500,91.53500,148.33100,121.92400,78.84200,80.07300,1.16000,1.14000
