,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,47365.00000,,47365.00000,812.00000,19869.00000,-10743.00000,,13486.00000,13486.00000,2225.00000,11261.00000,11261.00000,10764.00000,15941.00000,13486.00000,352.10000,358.10000,30.42000,30.06000
2021-12-31,59339.00000,,59339.00000,553.00000,21921.00000,-7806.00000,,27044.00000,27044.00000,5409.00000,21635.00000,21635.00000,21151.00000,29059.00000,27044.00000,350.50000,355.80000,60.25000,59.45000
2020-12-31,44560.00000,,44560.00000,401.00000,16922.00000,-12856.00000,,12479.00000,12479.00000,3020.00000,9459.00000,9459.00000,8915.00000,14381.00000,12479.00000,356.40000,360.30000,24.94000,24.74000
2019-12-31,36546.00000,,36546.00000,739.00000,15865.00000,-7655.00000,,10583.00000,10583.00000,2117.00000,8466.00000,8466.00000,7897.00000,12287.00000,10583.00000,371.60000,375.50000,21.18000,21.03000
2018-12-31,36616.00000,,36616.00000,740.00000,15374.00000,-6693.00000,,12481.00000,12481.00000,2022.00000,10459.00000,10459.00000,9860.00000,13809.00000,12481.00000,385.40000,390.20000,25.53000,25.27000
2017-12-31,32730.00000,2876.00000,29854.00000,588.00000,14448.00000,-2534.00000,18722.00000,11132.00000,11132.00000,6846.00000,4286.00000,4286.00000,3685.00000,12284.00000,11132.00000,401.60000,409.10000,9.12000,9.01000
2016-12-31,30790.00000,2823.00000,27967.00000,457.00000,14126.00000,-2082.00000,17663.00000,10304.00000,10304.00000,2906.00000,7398.00000,7398.00000,7087.00000,11302.00000,10304.00000,427.40000,435.10000,16.53000,16.29000
2015-12-31,33820.00000,2576.00000,31244.00000,557.00000,15219.00000,-5699.00000,22466.00000,8778.00000,8778.00000,2695.00000,6083.00000,6083.00000,5568.00000,9769.00000,8778.00000,448.90000,458.60000,12.35000,12.14000
2014-12-31,34528.00000,2501.00000,32027.00000,549.00000,15199.00000,-2585.00000,19670.00000,12357.00000,12357.00000,3880.00000,8477.00000,8477.00000,8077.00000,13694.00000,12357.00000,458.90000,473.20000,17.55000,17.07000
2013-12-31,34206.00000,2341.00000,31865.00000,541.00000,15158.00000,-3107.00000,20128.00000,11737.00000,11737.00000,3697.00000,8040.00000,8040.00000,7726.00000,13059.00000,11737.00000,471.30000,499.60000,16.34000,15.46000
2012-12-31,34163.00000,2208.00000,31955.00000,509.00000,15468.00000,-3033.00000,20748.00000,11207.00000,11207.00000,3732.00000,7475.00000,7475.00000,7292.00000,12945.00000,11207.00000,496.20000,516.10000,14.63000,14.13000
2011-12-31,28811.00000,2463.00000,26348.00000,640.00000,15073.00000,-2601.00000,20179.00000,6169.00000,6169.00000,1727.00000,4442.00000,4442.00000,2510.00000,8038.00000,6169.00000,524.60000,556.90000,4.71000,4.51000
2010-12-31,39161.00000,2281.00000,36880.00000,530.00000,18147.00000,-3422.00000,23988.00000,12892.00000,12892.00000,4538.00000,8354.00000,8354.00000,7713.00000,14796.00000,12892.00000,542.00000,585.30000,14.15000,13.18000
2009-12-31,45173.00000,2298.00000,42875.00000,342.00000,18530.00000,-2440.00000,23046.00000,19829.00000,19829.00000,6444.00000,13385.00000,13385.00000,12192.00000,21772.00000,19829.00000,512.30000,550.90000,23.74000,22.13000
