,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,53668.00000,3458.00000,50210.00000,32250.00000,-3871.00000,36121.00000,14089.00000,14089.00000,2910.00000,11179.00000,11179.00000,,10540.00000,18087.00000,14089.00000,1691.00000,1713.00000,6.23000,6.15000
2021-12-31,59755.00000,3341.00000,56414.00000,33048.00000,-3698.00000,36746.00000,19668.00000,19668.00000,4548.00000,15120.00000,15120.00000,,14566.00000,23884.00000,19668.00000,1785.00000,1814.00000,8.16000,8.03000
2020-12-31,48757.00000,2929.00000,45828.00000,27517.00000,-3893.00000,31410.00000,14418.00000,14418.00000,3239.00000,11179.00000,11179.00000,,10500.00000,18187.00000,14418.00000,1603.00000,1624.00000,6.55000,6.46000
2019-12-31,41538.00000,2493.00000,39045.00000,25256.00000,-2488.00000,27744.00000,11301.00000,11301.00000,2064.00000,9237.00000,9237.00000,,8512.00000,13944.00000,11301.00000,1617.00000,1640.00000,5.26000,5.19000
2018-12-31,40107.00000,2393.00000,37714.00000,23995.00000,-2482.00000,26477.00000,11237.00000,11237.00000,2350.00000,8887.00000,8887.00000,-4.00000,8222.00000,13081.00000,11237.00000,1708.00000,1738.00000,4.81000,4.73000
2017-12-31,37945.00000,2093.00000,35852.00000,23064.00000,-2385.00000,25449.00000,10403.00000,10403.00000,4168.00000,6235.00000,6235.00000,-19.00000,5588.00000,12156.00000,10403.00000,1780.00000,1821.00000,3.14000,3.07000
2016-12-31,34631.00000,1920.00000,32711.00000,21688.00000,-2175.00000,23863.00000,8848.00000,8848.00000,2726.00000,6122.00000,6122.00000,1.00000,5508.00000,10584.00000,8848.00000,1849.00000,1887.00000,2.98000,2.92000
2015-12-31,35155.00000,1892.00000,33263.00000,22144.00000,-2624.00000,24768.00000,8495.00000,8495.00000,2200.00000,6295.00000,6295.00000,-16.00000,5671.00000,9928.00000,8495.00000,1909.00000,1953.00000,2.97000,2.90000
2014-12-31,34275.00000,1806.00000,32469.00000,23667.00000,-5211.00000,28878.00000,3591.00000,3591.00000,-90.00000,3681.00000,3681.00000,-14.00000,3152.00000,4752.00000,3591.00000,1924.00000,1971.00000,1.64000,1.60000
2013-12-31,32493.00000,1711.00000,30782.00000,22076.00000,-4148.00000,26224.00000,4558.00000,4558.00000,902.00000,3656.00000,3656.00000,-43.00000,2655.00000,6069.00000,4558.00000,1905.82400,1956.52000,1.39000,1.36000
2012-12-31,26178.00000,1535.00000,24643.00000,21593.00000,-2454.00000,24047.00000,596.00000,596.00000,-161.00000,757.00000,757.00000,-41.00000,-30.00000,2177.00000,596.00000,1885.77400,1918.81100,-0.02000,-0.02000
2011-12-31,32227.00000,1633.00000,30594.00000,22064.00000,-2420.00000,24484.00000,6110.00000,6110.00000,1414.00000,4696.00000,4696.00000,-51.00000,2067.00000,7514.00000,6110.00000,1654.70900,1675.27200,1.25000,1.23000
2010-12-31,31230.00000,1416.00000,29814.00000,21434.00000,-2182.00000,23616.00000,6198.00000,6198.00000,743.00000,5455.00000,5455.00000,247.00000,3594.00000,7617.00000,6198.00000,1361.67100,1411.26900,2.64000,2.63000
2009-12-31,23280.00000,1190.00000,22090.00000,19311.00000,-1649.00000,20960.00000,1130.00000,1130.00000,-297.00000,1427.00000,1427.00000,-21.00000,-907.00000,2354.00000,1130.00000,1185.41500,1185.41500,-0.77000,-0.77000
