,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,8550.60000,4822.70000,3727.90000,-1461.40000,2144.00000,1583.90000,-256.90000,1327.00000,211.00000,1116.00000,1116.00000,,1114.20000,2183.50000,1583.90000,210.30000,214.70000,5.30000,5.19000
2021-12-31,8209.40000,5100.70000,3108.70000,-1221.60000,1907.50000,1201.20000,-226.10000,975.10000,20.10000,955.00000,955.00000,,906.80000,1767.50000,1201.20000,202.70000,207.30000,4.47000,4.37000
2020-12-31,7003.60000,4348.60000,2655.00000,-1058.20000,1587.70000,1067.30000,-196.40000,870.90000,12.80000,858.10000,858.10000,,818.80000,1629.70000,1067.30000,191.00000,195.00000,4.29000,4.20000
2019-12-31,7195.00000,4692.30000,2502.70000,-1207.10000,1696.80000,805.90040,-179.80000,626.10000,-89.70000,715.80000,715.80000,,668.80000,1280.30000,805.90040,186.00000,190.10000,3.60000,3.52000
2018-12-31,6934.00000,4842.30000,2091.70000,-1045.30000,1473.90000,617.79980,-138.40000,479.40000,-196.50000,675.90000,675.90000,,633.50000,1036.80000,617.79980,182.70000,186.20000,3.47000,3.40000
2017-12-31,6249.00000,4383.30000,1865.70000,-965.10000,1381.80000,483.90040,-124.10000,359.80000,-157.10000,516.90000,516.90000,,481.30000,869.70040,483.90040,180.10000,182.10000,2.67000,2.64000
2016-12-31,5680.50000,3945.80000,1734.70000,-908.40000,1291.30000,443.39990,-109.80000,333.60000,-96.70000,430.30000,430.30000,,396.80000,794.19990,443.39990,177.60000,178.40000,2.23000,2.22000
2015-12-31,5392.40000,3780.40000,1612.00000,-840.70000,1215.50000,396.49950,-103.00000,293.50000,-95.60000,389.10000,389.10000,,356.80000,730.69950,396.49950,172.20000,173.20000,2.07000,2.06000
2014-12-31,4626.50000,3226.50000,1400.00000,-743.10000,1019.50000,380.50000,-89.00000,291.50000,-36.00000,327.50000,327.50000,,303.40000,639.40000,380.50000,152.90000,154.30000,1.98000,1.97000
2013-12-31,3179.60000,2122.30000,1057.30000,-535.90000,716.20000,341.10010,-50.10000,291.00000,6.40000,284.60000,284.60000,,268.60000,519.70010,341.10010,128.90000,130.50000,2.08000,2.06000
2012-12-31,2520.30000,1605.00000,915.30000,-483.20000,627.00000,288.30000,-43.00000,245.30000,50.30000,195.00000,195.00000,,195.00000,428.70000,288.30000,121.00000,122.50000,1.61000,1.59000
2011-12-31,2134.70000,1358.10000,776.60000,-419.00000,528.00000,248.60000,-40.80000,207.80000,63.70000,144.10000,144.10000,,144.10000,363.80000,248.60000,111.70000,112.50000,1.29000,1.28000
2010-12-31,1864.20000,1181.50000,682.70000,-354.60000,445.10000,237.60000,-34.60000,203.00000,39.70000,163.30000,163.30000,10.80000,174.10000,330.70000,237.60000,104.80000,105.10000,1.66000,1.66000
2009-12-31,1729.30000,1068.70000,660.60010,-331.30000,421.00000,239.60010,-28.50000,211.10000,78.00000,133.10000,133.10000,-4.50000,128.60000,325.20010,239.60010,100.50000,100.60000,1.28000,1.28000
