,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,718.30000,718.30000,312.31500,-17.66300,326.87600,11.41200,338.28800,88.06400,250.22400,250.22400,,250.22400,394.03000,326.87600,37.46800,37.64300,6.68000,6.65000
2021-12-31,698.95100,698.95100,292.19500,-16.07400,337.23500,-3.31200,333.92300,76.03500,257.88800,257.88800,,257.88800,397.48100,337.23500,37.50800,38.09700,6.88000,6.77000
2020-12-31,689.12500,689.12500,257.34300,-21.05800,374.72800,-0.36900,374.35900,74.98200,299.37700,299.37700,,299.37700,417.56600,374.72800,37.35900,38.14400,8.01000,7.85000
2019-12-31,511.35200,511.35200,222.29900,-11.31400,250.88200,6.54200,257.42400,52.52200,204.90200,204.90200,,204.90200,283.53400,250.88200,37.08300,37.95600,5.53000,5.40000
2018-12-31,435.56500,435.56500,192.14700,-7.75400,212.58400,5.50200,218.08600,45.23400,172.85200,172.85200,,172.85200,235.66400,212.58400,36.95800,37.85500,4.68000,4.57000
2017-12-31,393.42200,393.42200,168.73600,-5.79700,199.61500,2.15300,201.76800,53.67900,148.08900,148.08900,,148.08900,218.88900,199.61500,36.86400,38.03800,4.02000,3.89000
2016-12-31,367.73000,367.73000,153.84700,-6.06000,189.98500,1.61700,191.60200,65.43000,126.17200,126.17200,,126.17200,207.82300,189.98500,36.84400,37.73800,3.42000,3.34000
2015-12-31,303.09800,303.09800,133.34300,-3.31300,147.90000,,147.90000,51.86300,96.03700,96.03700,,96.03700,166.44200,147.90000,36.69000,37.63700,2.62000,2.55000
2014-12-31,262.77400,262.77400,126.85900,,118.53600,,118.53600,43.73000,74.80600,74.80600,,74.80600,135.91500,118.53600,36.93000,37.88900,2.03000,1.97000
2013-12-31,238.73300,238.73300,117.33000,,107.28000,,107.28000,38.71700,68.56300,68.56300,7.45300,76.01600,120.33100,107.28000,36.88600,37.88800,2.06000,2.01000
2012-12-31,190.84000,190.84000,94.71200,,89.37000,,89.37000,27.58600,61.78400,61.78400,-1.71500,60.06900,97.60300,89.37000,36.51600,37.81600,1.65000,1.59000
2011-12-31,171.87400,171.87400,85.21800,,81.45000,,81.45000,32.00300,49.44700,49.44700,-1.74300,47.70400,88.23100,81.45000,37.00600,39.60800,1.29000,1.20000
2010-12-31,146.22800,146.22800,88.96800,,50.91000,,50.91000,19.48200,31.42800,31.42800,,28.42700,57.26000,50.91000,33.15900,39.05100,0.86000,0.80000
2009-12-31,114.43900,114.43900,77.60000,,30.04900,,30.04900,13.94700,16.10200,16.10200,,16.10200,36.83900,30.04900,33.26400,38.08200,0.44000,0.42000
