,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted
2022-12-31,3108.58100,1135.54800,1973.03300,146.37800,-18.35500,914.50800,1058.52500,-37.94100,1020.58400,1020.58400,1020.58400,,848.94700,1810.72700,1058.52500,156.72600,157.13700,5.42000,5.40000
2021-12-31,2888.62100,1034.14900,1854.47200,151.57300,-17.52300,886.43200,968.04000,-336.10800,631.93200,631.93200,631.93200,,496.22300,1688.89200,968.04000,156.11600,156.37600,3.18000,3.17000
2020-12-31,2765.68600,1030.34400,1735.34200,133.11200,-13.15700,830.02000,905.32200,113.36900,1018.69100,1018.69100,1018.69100,,862.22700,1591.30700,905.32200,155.43200,155.51700,5.55000,5.54000
2019-12-31,2960.56200,1084.01400,1876.54800,140.77700,-36.40800,854.94900,1021.59900,-369.60000,651.99900,651.99900,651.99900,,511.03400,1701.77500,1021.59900,154.58200,154.88300,3.31000,3.30000
2018-12-31,2717.07600,1013.01400,1704.06200,121.72200,-23.00600,790.37700,913.68490,-201.12200,712.56290,712.56290,712.56290,,572.34700,1559.33400,913.68490,154.42700,154.68200,3.71000,3.70000
2017-12-31,2602.07600,962.03600,1640.04000,113.71500,-0.66800,731.93000,908.11000,-345.62900,562.48100,562.48100,562.48100,,451.93900,1525.65700,908.11000,154.19000,154.39000,2.93000,2.93000
2016-12-31,2550.82000,921.23400,1629.58600,105.22900,-4.17000,803.80200,825.78410,-255.80700,569.97710,569.97710,569.97710,,502.28500,1520.18700,825.78410,153.71500,153.97700,3.27000,3.26000
2015-12-31,2490.82100,904.33600,1586.48500,96.31900,-1.25900,737.12000,849.36510,-49.44700,799.91810,799.91810,799.91810,,572.60600,1488.90700,849.36510,153.47100,153.84400,3.73000,3.72000
2014-12-31,2396.99800,864.52600,1532.47200,98.93700,-3.14000,730.65000,801.82200,-275.76500,526.05700,526.05700,526.05700,,433.11100,1430.39500,801.82200,153.08900,153.30800,2.83000,2.83000
2013-12-31,2135.53900,771.40300,1364.13600,115.32900,-10.05000,686.01600,678.12000,25.52800,703.64800,703.64800,703.64800,137.79200,741.75400,1243.51700,678.12000,152.20100,152.52100,4.87000,4.86000
2012-12-31,1847.18600,667.20800,1179.97800,90.12900,-3.65300,539.65700,640.32100,-354.86500,285.45610,285.45610,285.45600,46.68300,289.65000,1094.36500,640.32100,150.12000,150.71100,1.93000,1.92000
2011-12-31,1722.79200,598.79600,1123.99600,87.10100,-1.98700,518.83000,605.16590,-302.21600,302.94990,302.94990,302.95000,10.87600,272.67900,1044.35000,605.16590,145.69300,146.21800,1.87000,1.86000
2010-12-31,1543.31000,523.30700,1020.00300,79.39600,4.32400,410.93100,609.07200,-422.92100,186.15100,186.15100,186.15100,4.17600,159.07200,947.44300,609.07200,139.44000,140.05700,1.14000,1.14000
2009-12-31,1518.19000,525.76500,992.42490,75.44700,-351.10900,748.23700,244.18790,18.55100,262.73890,262.73890,262.73900,11.76000,231.01400,565.86890,244.18790,131.05000,131.51200,1.76000,1.76000
